1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|2*0*1*5.9*0.5*0.5*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|2*1*2*3*0.3*0.7*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
1*0*5.9*1*Task(C++ NONE)|1*1*1*1*Task(C++ NONE)|1*2*3*1*Task(C++ NONE)|1*3*5.9*1*Task(C++ NONE)|1*4*5.9*1*Task(C++ NONE)|
