1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|2*2*3*3*0.4*0.6*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*1*5.9*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|3*0*2*3*5.9*0*0.8*0.2*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
