

coalition: 0 1  | div : 1 0 ======================================
coalition: 0 1  | div : 0.6 0.4 ======================================
coalition: 1  | div : 1 ======================================
coalition: 0 1  | div : 0.2 0.8 ======================================
coalition: 0 1  | div : 0.6 0.4 ======================================
coalition: 0 1  | div : 0.7 0.3 ======================================
coalition: 0 1  | div : 0.1 0.9 ======================================
coalition: 0 1  | div : 0.4 0.6 ======================================
coalition: 0 1  | div : 0.4 0.6 ======================================
coalition: 0 1  | div : 0.1 0.9 ======================================
coalition: 0 1  | div : 0.6 0.4 ======================================
coalition: 0 1  | div : 0 1 ======================================
coalition: 0  | div : 1 ======================================
coalition: 0 1  | div : 0.4 0.6 ======================================
coalition: 0 1  | div : 1 0 ======================================
coalition: 0 1  | div : 0.2 0.8 ======================================
coalition: 0 1  | div : 0.2 0.8 ======================================
coalition: 0 1  | div : 0.9 0.1 ======================================
coalition: 0 1  | div : 0.7 0.3 ======================================
coalition: 0 1  | div : 0.5 0.5 ======================================
coalition: 0 1  | div : 0.1 0.9 ======================================
coalition: 0 1  | div : 0.9 0.1 ======================================
coalition: 0 1  | div : 0.4 0.6 ======================================
coalition: 0 1  | div : 0.3 0.7 ======================================
coalition: 0 1  | div : 0.8 0.2 ======================================
coalition: 0 1  | div : 0.2 0.8 ======================================
coalition: 0 1  | div : 0.6 0.4 ======================================
coalition: 0 1  | div : 0.6 0.4 ======================================
coalition: 0 1  | div : 0.3 0.7 ======================================
coalition: 1  | div : 1 ======================================
coalition: 0 1  | div : 0.5 0.5 ======================================
coalition: 0 1  | div : 0.5 0.5 ======================================
coalition: 0  | div : 1 ======================================
coalition: 0 1  | div : 0.2 0.8 ======================================
coalition: 0 1  | div : 0.4 0.6 ======================================
coalition: 0 1  | div : 0.2 0.8 ======================================
coalition: 0 1  | div : 0.4 0.6 ======================================
coalition: 0  | div : 1 ======================================
coalition: 0 1  | div : 0.7 0.3 ======================================
coalition: 0 1  | div : 0.1 0.9 ======================================
coalition: 0 1  | div : 0.8 0.2 ======================================
coalition: 0 1  | div : 0.5 0.5 ======================================
coalition: 0 1  | div : 0 1 ======================================
coalition: 0 1  | div : 0.2 0.8 ======================================
coalition: 0 1  | div : 0.7 0.3 ======================================
coalition: 0 1  | div : 0.4 0.6 ======================================
coalition: 0 1  | div : 0.1 0.9 ======================================
coalition: 0 1  | div : 0.5 0.5 ======================================
coalition: 0 1  | div : 0.4 0.6 ======================================
coalition: 0 1  | div : 0.5 0.5 ======================================
coalition: 0 1  | div : 0.8 0.2 ======================================
coalition: 1  | div : 1 ======================================
coalition: 0 1  | div : 0.3 0.7 ======================================
coalition: 0 1  | div : 0.2 0.8 ======================================
coalition: 0 1  | div : 0.2 0.8 ======================================
coalition: 0 1  | div : 0.6 0.4 ======================================
coalition: 1  | div : 1 ======================================
coalition: 0 1  | div : 0.7 0.3 ======================================
coalition: 0 1  | div : 0.6 0.4 ======================================
coalition: 0 1  | div : 0.4 0.6 ======================================
coalition: 0 1  | div : 0.5 0.5 ======================================
coalition: 0 1  | div : 0.7 0.3 ======================================
coalition: 0 1  | div : 0.9 0.1 ======================================
coalition: 0 1  | div : 0.2 0.8 ======================================
coalition: 0 1  | div : 0.1 0.9 ======================================
coalition: 1  | div : 1 ======================================
coalition: 0  | div : 1 ======================================
coalition: 0 1  | div : 0.7 0.3 ======================================
coalition: 0 1  | div : 0.2 0.8 ======================================
coalition: 0 1  | div : 0.7 0.3 ======================================
coalition: 0 1  | div : 0.6 0.4 ======================================
coalition: 1  | div : 1 ======================================
coalition: 0 1  | div : 0.4 0.6 ======================================
coalition: 0 1  | div : 0.2 0.8 ======================================
coalition: 0 1  | div : 0.4 0.6 ======================================
coalition: 0 1  | div : 0.5 0.5 ======================================
coalition: 0  | div : 1 ======================================
coalition: 0 1  | div : 0.6 0.4 ======================================
coalition: 0 1  | div : 0 1 ======================================
coalition: 0 1  | div : 0 1 ======================================
coalition: 0 1  | div : 0.3 0.7 ======================================
coalition: 0 1  | div : 0.7 0.3 ======================================
coalition: 0 1  | div : 0.7 0.3 ======================================
coalition: 0 1  | div : 1 0 ======================================
coalition: 0 1  | div : 0.3 0.7 ======================================
coalition: 0 1  | div : 0 1 ======================================
coalition: 0 1  | div : 0.8 0.2 ======================================
coalition: 0 1  | div : 0.2 0.8 ======================================
coalition: 0 1  | div : 0.7 0.3 ======================================
coalition: 0 1  | div : 0.9 0.1 ======================================
coalition: 0 1  | div : 0.7 0.3 ======================================
coalition: 0 1  | div : 0.1 0.9 ======================================
coalition: 0 1  | div : 0.1 0.9 ======================================
coalition: 0 1  | div : 0.5 0.5 ======================================
coalition: 0 1  | div : 0.7 0.3 ======================================
coalition: 0 1  | div : 0 1 ======================================
coalition: 0 1  | div : 0 1 ======================================
coalition: 0 1  | div : 0.7 0.3 ======================================
coalition: 0 1  | div : 0.3 0.7 ======================================
coalition: 0 1  | div : 0.3 0.7 ======================================
